employee_id,department,contract,experience_years,training_hours,salary,performance_score,promoted
E1000,IT,full_time,10,74,43381.26,75.3,0
E1001,Operations,intern,12,72,51168.18,68.5,0
E1002,Sales,full_time,18,34,58816.45,78.8,1
E1003,Sales,full_time,10,50,48092.01,70.6,0
E1004,IT,full_time,15,61,55638.73,74.1,0
E1005,Sales,,10,62,33873.98,72.5,0
E1006,Finance,full_time,9,41,48658.33,68.6,0
E1007,Sales,part_time,12,10,43986.31,78.6,1
E1008,Operations,full_time,19,55,46650.47,93.7,1
E1009,Operations,part_time,20,28,46945.6,88.6,1
E1010,Sales,part_time,5,3,39540.97,60.2,0
E1011,HR,full_time,8,63,35357.18,69.2,0
E1012,Sales,part_time,1,5,32272.34,62.0,0
E1013,IT,full_time,1,36,34423.23,68.7,0
E1014,IT,full_time,18,72,58717.73,97.7,1
E1015,IT,full_time,3,40,40266.63,68.2,0
E1016,IT,full_time,10,76,49800.99,81.7,1
E1017,Operations,full_time,0,63,30663.05,71.4,0
E1018,IT,part_time,18,47,61270.33,79.7,1
E1019,,part_time,4,18,35338.35,59.9,0
E1020,Finance,full_time,20,10,59821.62,86.2,1
E1021,Operations,,12,70,44470.39,74.9,0
E1022,Operations,part_time,2,72,29222.91,72.5,0
E1023,Operations,full_time,5,59,34978.78,79.5,1
E1024,Sales,full_time,10,54,45149.68,80.3,1
E1025,Operations,full_time,17,6,51692.83,80.7,1
E1026,Finance,full_time,2,64,30134.48,63.9,0
E1027,Operations,full_time,19,34,54696.13,84.1,1
E1028,IT,part_time,10,62,45031.96,78.2,1
E1029,Sales,full_time,2,74,31892.24,77.7,0
E1030,Finance,full_time,12,13,53668.15,76.5,0
E1031,Finance,intern,16,21,56133.74,79.6,1
E1032,Finance,full_time,6,17,39595.72,81.0,1
E1033,Sales,full_time,13,1,49101.02,76.3,0
E1034,Sales,full_time,3,74,32316.54,72.7,0
E1035,Finance,full_time,20,13,59064.17,78.1,1
E1036,Sales,full_time,13,34,37302.72,78.2,1
E1037,Operations,intern,3,43,33719.03,65.1,0
E1038,Sales,full_time,3,37,36407.5,79.5,1
E1039,HR,full_time,16,8,53934.97,81.1,1
E1040,IT,full_time,10,24,46225.11,71.3,0
E1041,IT,part_time,6,4,40551.34,60.9,0
E1042,Sales,full_time,18,74,56894.55,,1
E1043,Finance,part_time,4,11,38608.39,,0
E1044,Operations,full_time,15,71,52882.8,96.6,1
E1045,Finance,full_time,5,66,39808.12,81.4,1
E1046,HR,full_time,20,75,61421.91,93.3,1
E1047,Finance,part_time,19,78,60289.94,94.1,1
E1048,HR,full_time,10,60,42766.72,66.9,0
E1049,HR,full_time,10,10,43333.49,76.3,0
E1050,Operations,full_time,10,77,41158.91,81.5,1
E1051,IT,,9,45,38283.16,85.8,1
E1052,Sales,full_time,5,76,36181.89,76.1,0
E1053,Operations,part_time,18,55,56332.19,84.5,1
E1054,Operations,full_time,0,16,27979.48,62.6,0
E1055,IT,intern,18,5,55840.42,74.5,0
E1056,Operations,full_time,11,13,47900.72,82.1,1
E1057,Finance,full_time,18,71,56661.32,92.8,1
E1058,Operations,part_time,17,60,55016.59,90.3,1
E1059,,full_time,0,60,25350.22,71.4,0
E1060,Operations,part_time,1,34,31298.73,63.0,0
E1061,HR,full_time,20,55,49871.51,93.6,1
E1062,IT,full_time,6,57,40431.79,76.4,0
E1063,Finance,part_time,14,38,50697.23,92.9,1
E1064,HR,full_time,4,39,33651.85,70.2,0
E1065,IT,full_time,18,64,64255.01,92.3,1
E1066,IT,full_time,2,18,36111.95,60.6,0
E1067,Operations,full_time,16,66,53442.58,85.3,1
E1068,Operations,full_time,7,33,39802.43,,0
E1069,Sales,full_time,18,23,50525.67,91.4,1
E1070,IT,full_time,11,24,,75.5,0
E1071,Finance,full_time,18,19,54811.02,88.6,1
E1072,Operations,full_time,6,30,37006.58,68.7,0
E1073,Operations,full_time,13,79,,84.5,1
E1074,Sales,full_time,6,47,39134.83,60.2,0
E1075,Operations,full_time,2,39,32898.05,73.6,0
E1076,Finance,full_time,16,5,46317.26,91.5,1
E1077,Sales,part_time,14,33,50251.72,78.4,1
E1078,Sales,full_time,14,54,51355.48,93.8,1
E1079,,full_time,0,75,30072.18,78.1,0
E1080,Sales,full_time,19,32,59233.86,80.5,1
E1081,Finance,full_time,7,58,38332.83,82.2,1
E1082,IT,full_time,11,13,46106.54,66.8,0
E1083,Finance,full_time,5,60,36117.31,72.9,0
E1084,Sales,full_time,1,51,35544.47,77.5,0
E1085,Operations,full_time,6,65,,78.1,1
E1086,Finance,full_time,1,55,29625.69,61.5,0
E1087,Finance,full_time,16,67,59745.06,98.3,1
E1088,HR,full_time,12,70,37720.35,76.8,0
E1089,IT,intern,18,55,62401.28,87.3,1
